# name: AI Model Names
# category: Data and AI
# description: Frontier and open-weight model names, including the spoken decimal forms dictation produces (say "GPT five point six terra", get GPT-5.6-Terra).
pattern,replacement
#
# --- OpenAI and Azure OpenAI: GPT-5.6 ---
gpt five point six sol,GPT-5.6-Sol
gpt five six sol,GPT-5.6-Sol
gpt five point six terra,GPT-5.6-Terra
gpt five six terra,GPT-5.6-Terra
gpt five point six luna,GPT-5.6-Luna
gpt five six luna,GPT-5.6-Luna
gpt five point six,GPT-5.6
gpt five six,GPT-5.6
#
# --- OpenAI: GPT-5.5 and GPT-5.4 ---
gpt five point five instant,GPT-5.5 Instant
gpt five five instant,GPT-5.5 Instant
gpt five point five,GPT-5.5
gpt five five,GPT-5.5
gpt five point four mini,GPT-5.4-mini
gpt five four mini,GPT-5.4-mini
gpt five point four nano,GPT-5.4-nano
gpt five four nano,GPT-5.4-nano
gpt five point four pro,GPT-5.4-pro
gpt five four pro,GPT-5.4-pro
gpt five point four,GPT-5.4
gpt five four,GPT-5.4
#
# --- OpenAI: GPT-5.3 through GPT-5.1 ---
gpt five point three codex,GPT-5.3-codex
gpt five three codex,GPT-5.3-codex
gpt five point three chat,GPT-5.3-chat
gpt five three chat,GPT-5.3-chat
gpt five point three,GPT-5.3
gpt five three,GPT-5.3
gpt five point two codex,GPT-5.2-codex
gpt five two codex,GPT-5.2-codex
gpt five point two chat,GPT-5.2-chat
gpt five two chat,GPT-5.2-chat
gpt five point two,GPT-5.2
gpt five two,GPT-5.2
gpt five point one codex mini,GPT-5.1-codex-mini
gpt five one codex mini,GPT-5.1-codex-mini
gpt five point one codex max,GPT-5.1-codex-max
gpt five one codex max,GPT-5.1-codex-max
gpt five point one codex,GPT-5.1-codex
gpt five one codex,GPT-5.1-codex
gpt five point one chat,GPT-5.1-chat
gpt five one chat,GPT-5.1-chat
gpt five point one,GPT-5.1
gpt five one,GPT-5.1
#
# --- OpenAI: GPT-5 base family ---
gpt five codex,GPT-5-codex
gpt five chat,GPT-5-chat
gpt five mini,GPT-5-mini
gpt five nano,GPT-5-nano
gpt five pro,GPT-5-pro
gpt five,GPT-5
gpt oss one twenty b,gpt-oss-120b
gpt oss twenty b,gpt-oss-20b
#
# --- OpenAI: GPT-4 family ---
gpt four point one mini,GPT-4.1-mini
gpt four one mini,GPT-4.1-mini
gpt four point one nano,GPT-4.1-nano
gpt four one nano,GPT-4.1-nano
gpt four point one,GPT-4.1
gpt four one,GPT-4.1
gpt four oh mini,GPT-4o mini
gpt four o mini,GPT-4o mini
gpt four oh,GPT-4o
gpt four o,GPT-4o
gpt four turbo,GPT-4 Turbo
gpt four,GPT-4
gpt three point five turbo,GPT-3.5 Turbo
#
# --- OpenAI: reasoning series ---
oh one preview,o1-preview
o one preview,o1-preview
oh one mini,o1-mini
o one mini,o1-mini
oh three deep research,o3-deep-research
o three deep research,o3-deep-research
oh three mini,o3-mini
o three mini,o3-mini
oh three pro,o3-pro
o three pro,o3-pro
oh four mini,o4-mini
o four mini,o4-mini
codex mini,codex-mini
computer use preview,computer-use-preview
#
# --- OpenAI: audio, image, and embedding models ---
text embedding three large,text-embedding-3-large
text embedding three small,text-embedding-3-small
text embedding ada zero zero two,text-embedding-ada-002
text embedding ada,text-embedding-ada-002
gpt image one point five,gpt-image-1.5
gpt image one mini,gpt-image-1-mini
gpt image one,gpt-image-1
gpt image two,gpt-image-2
sora two,Sora 2
sora,Sora
gpt four oh transcribe,gpt-4o-transcribe
gpt four o transcribe,gpt-4o-transcribe
gpt four oh mini transcribe,gpt-4o-mini-transcribe
gpt four o mini transcribe,gpt-4o-mini-transcribe
gpt realtime two point one,gpt-realtime-2.1
gpt realtime two,gpt-realtime-2
gpt realtime one point five,gpt-realtime-1.5
gpt realtime translate,gpt-realtime-translate
